run,environment,distance,experiment,rx_label,tx_label,mean,trim_mean,median,std,dis1,dis2,dis21,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,C,-93.51862464183381,-93.52313167259787,-93.0,2.976502296160081,2.426088455759804,2.4097421203438394,6.15223438810552,16.0,-0.0317822777927331,-96.0,-91.0,5.0,-86.0,-101.0,15.0,0.012728778667589627,-0.5194664925395704
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,C,-90.71916010498688,-90.62622950819672,-91.0,3.6544673926988214,3.0059864564173546,3.005249343832021,7.6796204060908835,18.0,-0.04023040279983857,-93.0,-88.0,5.0,-82.0,-101.0,19.0,-0.19021738931759682,-0.5211543807386145
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_B.csv,B,C,-91.2853470437018,-91.12460063897764,-91.0,3.1895958757967664,2.536475439628337,2.48586118251928,7.28707081543327,17.0,-0.03489600032365867,-93.0,-89.0,4.0,-83.0,-100.0,17.0,-0.47230808612213837,-0.14438920283737522
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_C.csv,C,B,-92.0,-91.89189189189189,-92.0,3.5508725198426805,2.8744588744588744,2.8744588744588744,8.13759587888484,18.0,-0.038512807744476574,-94.0,-89.0,5.0,-82.0,-102.0,20.0,-0.2732788972700606,-0.2274506539833534
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_C.csv,C,B,-88.63669064748201,-88.40178571428571,-88.0,4.121925943680088,3.331944516329382,3.276978417266187,8.620170434100615,19.0,-0.04641989337471365,-91.0,-86.0,5.0,-81.0,-99.0,18.0,-0.46394388838554046,-0.5207075149514448
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_C.csv,C,B,-90.4624060150376,-90.15420560747664,-90.0,3.103329958408568,2.45101475493244,2.357142857142857,7.9688496430917475,17.0,-0.03424064509321551,-92.0,-88.0,4.0,-83.0,-100.0,17.0,-0.8319034217922975,0.3383214496225886
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_C.csv,C,D,-90.44491525423729,-90.28421052631579,-90.0,3.2891076836263338,2.688810686584314,2.6737288135593222,7.788412289739114,17.0,-0.03628873805018316,-93.0,-88.0,5.0,-84.0,-100.0,16.0,-0.33112127324107243,-0.43511175410644265
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_C.csv,C,D,-90.89473684210526,-90.78391959798995,-91.0,3.6175178784904576,3.014276582143622,3.0121457489878543,7.3283185695356465,18.0,-0.03971833426595237,-93.0,-88.0,5.0,-83.0,-100.0,17.0,-0.251493835511106,-0.5595035267126653
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_C.csv,C,D,-93.869918699187,-93.79797979797979,-93.5,3.0797809346783267,2.4390243902439024,2.4390243902439024,7.374604285314318,18.0,-0.03274227660424983,-96.0,-92.0,4.0,-85.0,-103.0,18.0,-0.2015310235821146,0.02991109027238803
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_D.csv,D,A,-87.3068783068783,-87.01307189542484,-87.0,4.4781984042556635,3.4862405867696853,3.439153439153439,11.770710929758735,23.0,-0.051156743807610455,-90.0,-84.0,6.0,-78.0,-102.0,24.0,-0.7408736602099637,0.6692912231882708
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_D.csv,D,A,-86.74468085106383,-86.26973684210526,-86.0,4.859383491657117,3.8162064282480794,3.776595744680851,11.305859588887063,21.0,-0.055870196534888054,-89.0,-83.0,6.0,-80.0,-100.0,20.0,-0.803031676537196,0.061822543646028016
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_D.csv,D,A,-90.38728323699422,-90.2158273381295,-91.0,4.775818463351783,3.985632663971399,3.953757225433526,8.689309700924634,21.0,-0.05268435276478203,-93.0,-86.0,7.0,-82.0,-102.0,20.0,-0.17755233553433572,-0.8310587942510579
1,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_D.csv,D,C,-88.59531772575251,-88.67634854771784,-89.0,2.740470642977279,2.157425532152884,2.137123745819398,7.110498083861009,16.0,-0.030880684761311502,-91.0,-87.0,4.0,-80.0,-95.0,15.0,0.3282878797936992,0.2296229128547016
2,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_D.csv,D,C,-90.86622073578596,-90.850622406639,-91.0,3.8922780330653013,3.1572130065659207,3.150501672240803,8.406117542271566,20.0,-0.04276356740905716,-94.0,-88.0,6.0,-82.0,-102.0,20.0,-0.0846278870006003,-0.5533532728911545
3,outdoor,1.5,X-d1.5m0dbm_out_M-R_bluetooth_le_null_D.csv,D,C,-93.01433691756273,-93.02222222222223,-93.0,3.0652042618158077,2.459654937629273,2.4587813620071683,6.968471077669159,17.0,-0.03289499484218967,-95.0,-91.0,4.0,-86.0,-102.0,16.0,-0.0022094658622767178,-0.10443520791569938
1,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-88.88915094339623,-88.70294117647059,-88.0,3.6630511169565287,3.0684073513705963,3.0306603773584904,9.765186231168217,20.0,-0.04116057913043046,-92.0,-86.0,6.0,-81.0,-101.0,20.0,-0.4327732187373637,-0.4527918164828795
2,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-86.929203539823,-86.82783882783883,-87.0,5.205908365324266,4.339833450805336,4.336283185840708,9.533175914961527,23.0,-0.05979836639326268,-91.0,-83.0,8.0,-77.0,-99.0,22.0,-0.13296997148385165,-0.8168077139783163
3,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-89.16981132075472,-89.01408450704226,-89.0,3.781613457646511,2.93100747597009,2.8867924528301887,7.524558626919413,19.0,-0.04232902972467148,-91.0,-87.0,4.0,-80.0,-98.0,18.0,-0.3624149174639924,-0.1704673994382806
4,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-90.32722513089006,-89.98692810457516,-90.0,4.268574312706031,3.478002247745392,3.4214659685863875,9.356747488999025,18.0,-0.04719489064429259,-93.0,-86.0,7.0,-84.0,-102.0,18.0,-0.538443801829648,-0.7136643826108879
5,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-88.54306220095694,-88.31845238095238,-88.0,1.7816846502017265,1.263112108239279,1.2033492822966507,5.035053172700062,8.0,-0.020098154819391843,-89.0,-88.0,1.0,-86.0,-94.0,8.0,-1.2945366673793892,1.950436528724592
6,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,B,-87.7489539748954,-87.4921875,-87.0,1.9714282390846662,1.4412737872236145,1.3347280334728033,6.714961532934707,13.0,-0.022443173471345054,-88.0,-87.0,1.0,-83.0,-96.0,13.0,-1.2242785062459556,1.7122747732511678
1,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,D,-94.85507246376811,-94.87837837837837,-95.0,2.1643415110716835,1.8365889519008616,1.826086956521739,4.229667781382948,11.0,-0.02277597800967578,-96.0,-93.0,3.0,-90.0,-100.0,10.0,0.06721807153517209,-0.594521265385537
2,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,D,-92.87761194029851,-93.02973977695167,-93.0,3.3256317618500426,2.672969480953445,2.647761194029851,7.123124327649469,17.0,-0.03575312018949362,-95.0,-91.0,4.0,-84.0,-101.0,17.0,0.3696325148145226,-0.36902104799104185
3,outdoor,1.8,X-d1.8m0dbm_out_M-R_bluetooth_le_null_A.csv,A,D,-93.3467492260062,-93.46718146718146,-94.0,3.7346639145885008,3.1641633678076104,3.1176470588235294,6.905940713466368,15.0,-0.03994652465622266,-96.0,-90.0,6.0,-86.0,-100.0,14.0,0.2838352072872027,-0.9303220093619013
