,distance,experiment,rx_label,tx_label,run,mean,trim_mean,median,std,dis1,dis2,conteo,cv,q1,q3,q3q1_ran,max,min,range,skew,kur,len
3691,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,2,-75.76,-75.6,-75.0,2.0934182573007227,1.674666666666665,1.5733333333333333,7.0,-0.027632236764793063,-76.0,-74.0,2.0,-73.0,-80.0,7.0,-0.7378468776969233,-0.5433764664686236,150
3692,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,3,-75.20666666666666,-74.825,-74.0,2.406371172995184,1.9711999999999963,1.86,10.0,-0.03199678006819232,-76.75,-73.0,3.75,-73.0,-82.0,9.0,-1.0798935457626677,0.3016361680107331,150
3693,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,4,-75.23333333333333,-74.975,-75.0,2.152259794314392,1.8040000000000005,1.7666666666666666,8.0,-0.02860779522792723,-76.0,-73.0,3.0,-73.0,-80.0,7.0,-0.7239978159410545,-0.5713068755375619,150
3694,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,5,-82.06,-81.075,-79.0,5.89262816293941,4.563200000000002,4.366666666666666,16.0,-0.07180877605336838,-84.0,-77.0,7.0,-77.0,-98.0,21.0,-1.2306802387436853,0.3365274575726427,150
3695,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,6,-82.78666666666666,-81.86666666666666,-79.0,6.742488825022669,5.601244444444438,4.8533333333333335,15.0,-0.08144413945509747,-85.0,-78.25,6.75,-76.0,-99.0,23.0,-1.0749382814747903,-0.33168224890980413,150
3696,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,7,-81.52666666666667,-80.475,-79.0,6.414251493527692,4.993511111111108,4.193333333333333,14.0,-0.07867672941607276,-81.0,-77.0,4.0,-76.0,-99.0,23.0,-1.3711877085785786,0.3818340182711162,150
3697,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,8,-81.74666666666667,-80.83333333333333,-79.0,6.257993998789776,5.091911111111113,4.333333333333333,14.0,-0.0765535067540749,-84.0,-77.0,7.0,-76.0,-97.0,21.0,-1.176791415218916,-0.0585690566737056,150
3698,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,9,-83.41333333333333,-82.86666666666666,-81.0,6.539303394772937,5.967288888888886,5.613333333333333,13.0,-0.07839638021227148,-90.0,-77.0,13.0,-76.0,-97.0,21.0,-0.49262896615050666,-1.3786603185522506,150
3699,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_B.csv,B,A,10,-81.9,-81.21666666666667,-79.0,5.588977246926906,4.747999999999998,4.273333333333333,11.0,-0.06824148042645795,-84.0,-77.0,7.0,-77.0,-95.0,18.0,-0.9336181028252091,-0.6017025828007148,150
3700,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,1,-73.87333333333333,-73.60833333333333,-71.0,6.610392491288914,6.049511111111111,5.286666666666667,10.0,-0.08948279701230367,-82.0,-67.0,15.0,-66.0,-86.0,20.0,-0.41723294407350037,-1.4845031352215512,150
3701,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,2,-74.49333333333334,-73.89166666666667,-71.0,7.850050247539114,7.078400000000001,6.493333333333333,20.0,-0.10537923188928468,-83.0,-67.0,16.0,-64.0,-90.0,26.0,-0.4898662551001894,-1.2972170453196838,150
3702,4.0,X-d4.0m0dbm_in_M-R_bluetooth_le_null_C.csv,C,D,3,-74.17333333333333,-73.84166666666667,-72.0,6.143556696970324,5.664177777777775,5.026666666666666,11.0,-0.08282702719266122,-82.0,-68.0,14.0,-67.0,-85.0,18.0,-0.4479148501896946,-1.5328214090388084,150
